medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country
Bronze Medal,3,45500,KIM Woomin,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,4654306,KOR,Korea
Gold Medal,1,45500,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRAUS01,AUS,Australia
Silver Medal,2,45500,United States,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRUSA01,USA,United States
Bronze Medal,3,45500,China,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRCHN01,CHN,China
Gold Medal,1,45500,Ariarne TITMUS,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1946150,AUS,Australia
Silver Medal,2,45500,Summer McINTOSH,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1967140,CAN,Canada
Bronze Medal,3,45500,Katie LEDECKY,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1935938,USA,United States
Gold Medal,1,45501,Korea,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,ARCWTEAM3---KOR01,KOR,Korea
Silver Medal,2,45501,China,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,ARCWTEAM3---CHN01,CHN,China
Bronze Medal,3,45501,Mexico,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000200--,ARCWTEAM3---MEX01,MEX,Mexico
Gold Medal,1,45501,Jessica FOX,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1940205,AUS,Australia
Silver Medal,2,45501,Klaudia ZWOLINSKA,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1942126,POL,Poland
Bronze Medal,3,45501,Kimberley WOODS,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1896045,GBR,Great Britain
Gold Medal,1,45501,Pauline FERRAND PREVOT,W,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1895672,FRA,France
Silver Medal,2,45501,Haley BATTEN,W,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1955070,USA,United States
Bronze Medal,3,45501,Jenny RISSVEDS,W,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1564023,SWE,Sweden
Gold Medal,1,45501,KANO Koki,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1896548,JPN,Japan
Silver Medal,2,45501,Yannick BOREL,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1916194,FRA,France
Bronze Medal,3,45501,Mohamed ELSAYED,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000200--,1936462,EGY,Egypt
Gold Medal,1,45501,Lee KIEFER,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950611,USA,United States
Silver Medal,2,45501,Lauren SCRUGGS,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950643,USA,United States
Bronze Medal,3,45501,Eleanor HARVEY,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000200--,1973213,CAN,Canada
Gold Medal,1,45501,ABE Hifumi,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1896763,JPN,Japan
Silver Medal,2,45501,Willian LIMA,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1953840,BRA,Brazil
Bronze Medal,3,45501,Gusman KYRGYZBAYEV,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000100--,1935410,KAZ,Kazakhstan
Bronze Medal,3,45501,Denis VIERU,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000200--,1561138,MDA,Republic of Moldova
Gold Medal,1,45501,Diyora KELDIYOROVA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1566997,UZB,Uzbekistan
Silver Medal,2,45501,Distria KRASNIQI,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1550162,KOS,Kosovo
Bronze Medal,3,45501,Larissa PIMENTA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000100--,1953817,BRA,Brazil
Bronze Medal,3,45501,Amandine BUCHARD,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000200--,1891283,FRA,France
Gold Medal,1,45501,XIE Yu,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1913907,CHN,China
Silver Medal,2,45501,Federico Nilo MALDINI,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551388,ITA,Italy
Bronze Medal,3,45501,Paolo MONNA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551387,ITA,Italy
Gold Medal,1,45501,OH Ye Jin,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893972,KOR,Korea
Silver Medal,2,45501,KIM Yeji,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893930,KOR,Korea
Bronze Medal,3,45501,Manu BHAKER,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1538159,IND,India
Gold Medal,1,45501,YOSHIZAWA Coco,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902055,JPN,Japan
Silver Medal,2,45501,AKAMA Liz,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902069,JPN,Japan
Bronze Medal,3,45501,Rayssa LEAL,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1955689,BRA,Brazil
Gold Medal,1,45501,Nicolo MARTINENGHI,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1925633,ITA,Italy
Silver Medal,2,45501,Adam PEATY,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1956469,GBR,Great Britain
Silver Medal,2,45501,Nic FINK,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1935901,USA,United States
Gold Medal,1,45501,Leon MARCHAND,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1909294,FRA,France
Silver Medal,2,45501,MATSUSHITA Tomoyuki,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1963635,JPN,Japan
Bronze Medal,3,45501,Carson FOSTER,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1935903,USA,United States
Gold Medal,1,45501,Torri HUSKE,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935923,USA,United States
Silver Medal,2,45501,Gretchen WALSH,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935998,USA,United States
Bronze Medal,3,45501,ZHANG Yufei,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1945125,CHN,China
Gold Medal,1,45502,Korea,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---KOR01,KOR,Korea
Silver Medal,2,45502,France,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---FRA01,FRA,France
Bronze Medal,3,45502,Türkiye,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000200--,ARCMTEAM3---TUR01,TUR,T�rkiye
Gold Medal,1,45502,Japan,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----JPN01,JPN,Japan
Silver Medal,2,45502,China,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----CHN01,CHN,China
Bronze Medal,3,45502,United States,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----USA01,USA,United States
Gold Medal,1,45502,Nicolas GESTIN,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1880479,FRA,France
Silver Medal,2,45502,Adam BURGESS,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1896030,GBR,Great Britain
Bronze Medal,3,45502,Matej BENUS,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1961080,SVK,Slovakia
Gold Medal,1,45502,Thomas PIDCOCK,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1912546,GBR,Great Britain
Silver Medal,2,45502,Victor KORETZKY,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1895687,FRA,France
Bronze Medal,3,45502,Alan HATHERLY,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1943604,RSA,South Africa
Gold Medal,1,45502,China,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CHN01,CHN,China
Silver Medal,2,45502,Great Britain,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2GBR01,GBR,Great Britain
Bronze Medal,3,45502,Canada,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CAN01,CAN,Canada
Gold Medal,1,45502,Michael JUNG,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1914921,GER,Germany
Silver Medal,2,45502,Christopher BURTON,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1940438,AUS,Australia
Bronze Medal,3,45502,Laura COLLETT,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1970898,GBR,Great Britain
Gold Medal,1,45502,Great Britain,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMGBR01,GBR,Great Britain
Silver Medal,2,45502,France,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMFRA01,FRA,France
Bronze Medal,3,45502,Japan,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMJPN01,JPN,Japan
Gold Medal,1,45502,CHEUNG Ka Long,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1963245,HKG,"Hong Kong, China"
Silver Medal,2,45502,Filippo MACCHI,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1924289,ITA,Italy
Bronze Medal,3,45502,Nick ITKIN,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000200--,1950602,USA,United States
Gold Medal,1,45502,Manon APITHY-BRUNET,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916223,FRA,France
Silver Medal,2,45502,Sara BALZER,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916222,FRA,France
Bronze Medal,3,45502,Olga KHARLAN,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--,1897644,UKR,Ukraine
Gold Medal,1,45502,Hidayat HEYDAROV,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1972337,AZE,Azerbaijan
Silver Medal,2,45502,Joan-Benjamin GABA,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1891311,FRA,France
Bronze Medal,3,45502,Adil OSMANOV,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000100--,1563437,MDA,Republic of Moldova
Bronze Medal,3,45502,HASHIMOTO Soichi,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000200--,1896740,JPN,Japan
Gold Medal,1,45502,Christa DEGUCHI,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1955526,CAN,Canada
Silver Medal,2,45502,HUH Mimi,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1928067,KOR,Korea
Bronze Medal,3,45502,FUNAKUBO Haruka,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000100--,1896733,JPN,Japan
Bronze Medal,3,45502,Sarah Leonie CYSIQUE,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000200--,1891286,FRA,France
Gold Medal,1,45502,SHENG Lihao,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1913899,CHN,China
Silver Medal,2,45502,Victor LINDGREN,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1572919,SWE,Sweden
Bronze Medal,3,45502,Miran MARICIC,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1888047,CRO,Croatia
Gold Medal,1,45502,BAN Hyojin,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1893845,KOR,Korea
Silver Medal,2,45502,HUANG Yuting,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1913945,CHN,China
Bronze Medal,3,45502,Audrey GOGNIAT,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1976545,SUI,Switzerland
Gold Medal,1,45502,HORIGOME Yuto,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1902081,JPN,Japan
Silver Medal,2,45502,Jagger EATON,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944226,USA,United States
Bronze Medal,3,45502,Nyjah HUSTON,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944232,USA,United States
Gold Medal,1,45502,Thomas CECCON,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1925635,ITA,Italy
Silver Medal,2,45502,XU Jiayu,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1945132,CHN,China
Bronze Medal,3,45502,Ryan MURPHY,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1935957,USA,United States
Gold Medal,1,45502,David POPOVICI,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1543549,ROU,Romania
Silver Medal,2,45502,Matthew RICHARDS,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1903617,GBR,Great Britain
Bronze Medal,3,45502,Luke HOBSON,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1935918,USA,United States
Gold Medal,1,45502,Tatjana SMITH,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1962589,RSA,South Africa
Silver Medal,2,45502,TANG Qianting,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1945200,CHN,China
Bronze Medal,3,45502,Mona Mc SHARRY,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1543304,IRL,Ireland
Gold Medal,1,45502,Mollie O'CALLAGHAN,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946218,AUS,Australia
Silver Medal,2,45502,Ariarne TITMUS,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946150,AUS,Australia
Bronze Medal,3,45502,HAUGHEY Siobhan Bernadette,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1925125,HKG,"Hong Kong, China"
Gold Medal,1,45502,Summer McINTOSH,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1967140,CAN,Canada
Silver Medal,2,45502,Katie GRIMES,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1935909,USA,United States
Bronze Medal,3,45502,Emma WEYANT,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1936001,USA,United States
Gold Medal,1,45503,United States,W,Artistic Gymnastics,Women's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--,GARWTEAM----USA01,USA,United States
Silver Medal,2,45503,Italy,W,Artistic Gymnastics,Women's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--,GARWTEAM----ITA01,ITA,Italy
Bronze Medal,3,45503,Brazil,W,Artistic Gymnastics,Women's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--,GARWTEAM----BRA01,BRA,Brazil
Gold Medal,1,45503,Italy,W,Fencing,Women's Épée Team,HTEAM,/en/paris-2024/results/fencing/women-s-epee-team/fnl-000100--,FENWTEAMEPEEITA01,ITA,Italy
Silver Medal,2,45503,France,W,Fencing,Women's Épée Team,HTEAM,/en/paris-2024/results/fencing/women-s-epee-team/fnl-000100--,FENWTEAMEPEEFRA01,FRA,France
Bronze Medal,3,45503,Poland,W,Fencing,Women's Épée Team,HTEAM,/en/paris-2024/results/fencing/women-s-epee-team/fnl-000200--,FENWTEAMEPEEPOL01,POL,Poland
Gold Medal,1,45503,NAGASE Takanori,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/fnl-000100--,1896765,JPN,Japan
Silver Medal,2,45503,Tato GRIGALASHVILI,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/fnl-000100--,1546651,GEO,Georgia
Bronze Medal,3,45503,LEE Joonhwan,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/repf000100--,1928079,KOR,Korea
Bronze Medal,3,45503,Somon MAKHMADBEKOV,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/repf000200--,1570561,TJK,Tajikistan
Gold Medal,1,45503,Andreja LESKI,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/fnl-000100--,1980833,SLO,Slovenia
Silver Medal,2,45503,Prisca AWITI ALCARAZ,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/fnl-000100--,1537287,MEX,Mexico
Bronze Medal,3,45503,Clarisse AGBEGNENOU,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/repf000100--,1891289,FRA,France
Bronze Medal,3,45503,Laura FAZLIU,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/repf000200--,1550167,KOS,Kosovo
Gold Medal,1,45503,New Zealand,W,Rugby Sevens,Women,HTEAM,/en/paris-2024/results/rugby-sevens/women/fnl-000100--,RU7WTEAM7---NZL01,NZL,New Zealand
Silver Medal,2,45503,Canada,W,Rugby Sevens,Women,HTEAM,/en/paris-2024/results/rugby-sevens/women/fnl-000100--,RU7WTEAM7---CAN01,CAN,Canada
Bronze Medal,3,45503,United States,W,Rugby Sevens,Women,HTEAM,/en/paris-2024/results/rugby-sevens/women/fnl-000200--,RU7WTEAM7---USA01,USA,United States
Gold Medal,1,45503,Serbia,X,Shooting,10m Air Pistol Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000100--,SHOXAPMT----SRB01,SRB,Serbia
Silver Medal,2,45503,Türkiye 2,X,Shooting,10m Air Pistol Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000100--,SHOXAPMT----TUR02,TUR,T�rkiye
Bronze Medal,3,45503,India 1,X,Shooting,10m Air Pistol Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000200--,SHOXAPMT----IND01,IND,India
Gold Medal,1,45503,Nathan HALES,M,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1904430,GBR,Great Britain
Silver Medal,2,45503,QI Ying,M,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1913928,CHN,China
Bronze Medal,3,45503,Jean Pierre BROL CARDENAS,M,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1958970,GUA,Guatemala
Gold Medal,1,45503,Great Britain,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--,SWMM4X200MFRGBR01,GBR,Great Britain
Silver Medal,2,45503,United States,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--,SWMM4X200MFRUSA01,USA,United States
Bronze Medal,3,45503,Australia,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--,SWMM4X200MFRAUS01,AUS,Australia
Gold Medal,1,45503,Daniel WIFFEN,M,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1539969,IRL,Ireland
Silver Medal,2,45503,Bobby FINKE,M,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1935902,USA,United States
Bronze Medal,3,45503,Gregorio PALTRINIERI,M,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1925630,ITA,Italy
Gold Medal,1,45503,Kaylee McKEOWN,W,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,1946198,AUS,Australia
Silver Medal,2,45503,Regan SMITH,W,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,1935984,USA,United States
Bronze Medal,3,45503,Katharine BERKOFF,W,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,1935873,USA,United States
Gold Medal,1,45503,WANG/SUN,X,Table Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000100--,TTEXDOUBLES-CHN01,CHN,China
Silver Medal,2,45503,RI/KIM,X,Table Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000100--,TTEXDOUBLES-PRK01,PRK,DPR Korea
Bronze Medal,3,45503,LIM/SHIN,X,Table Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000200--,TTEXDOUBLES-KOR01,KOR,Korea
Gold Medal,1,45504,OKA Shinnosuke,M,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,1919480,JPN,Japan
Silver Medal,2,45504,ZHANG Boheng,M,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,1918864,CHN,China
Bronze Medal,3,45504,XIAO Ruoteng,M,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,1918860,CHN,China
Gold Medal,1,45504,Jessica FOX,W,Canoe Slalom,Women's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--,1940205,AUS,Australia
Silver Medal,2,45504,Elena LILIK,W,Canoe Slalom,Women's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--,1913770,GER,Germany
Bronze Medal,3,45504,Evy LEIBFARTH,W,Canoe Slalom,Women's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--,1955132,USA,United States
Gold Medal,1,45504,Jose TORRES GIL,M,Cycling BMX Freestyle,Men's Park,ATH,/en/paris-2024/results/cycling-bmx-freestyle/men-s-park/fnl-000100--,1916809,ARG,Argentina
Silver Medal,2,45504,Kieran Darren David REILLY,M,Cycling BMX Freestyle,Men's Park,ATH,/en/paris-2024/results/cycling-bmx-freestyle/men-s-park/fnl-000100--,1912548,GBR,Great Britain
Bronze Medal,3,45504,Anthony JEANJEAN,M,Cycling BMX Freestyle,Men's Park,ATH,/en/paris-2024/results/cycling-bmx-freestyle/men-s-park/fnl-000100--,1895685,FRA,France
Gold Medal,1,45504,DENG Yawen,W,Cycling BMX Freestyle,Women's Park,ATH,/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--,1920569,CHN,China
