medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country
Bronze Medal,3,45514,Rafael ALBA,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000100--,1897088,CUB,Cuba
Bronze Medal,3,45514,Cheick Sallah CISSE,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000200--,1548401,CIV,C�te d'Ivoire
Gold Medal,1,45514,Althea LAURIN,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--,1893272,FRA,France
Silver Medal,2,45514,Svetlana OSIPOVA,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--,1887768,UZB,Uzbekistan
Bronze Medal,3,45514,LEE Dabin,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000100--,1904039,KOR,Korea
Bronze Medal,3,45514,Nafia KUS AYDIN,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000200--,1566738,TUR,T�rkiye
Gold Medal,1,45514,France,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000100--,VVOMTEAM6---FRA01,FRA,France
Silver Medal,2,45514,Poland,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000100--,VVOMTEAM6---POL01,POL,Poland
Bronze Medal,3,45514,Brazil,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000200--,VVOWTEAM6---BRA01,BRA,Brazil
Gold Medal,1,45514,Spain,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000100--,WPOWTEAM7---ESP01,ESP,Spain
Silver Medal,2,45514,Australia,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000100--,WPOWTEAM7---AUS01,AUS,Australia
Bronze Medal,3,45514,Netherlands,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000200--,WPOWTEAM7---NED01,NED,Netherlands
Gold Medal,1,45514,Lasha TALAKHADZE,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1551443,GEO,Georgia
Silver Medal,2,45514,Varazdat LALAYAN,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1544424,ARM,Armenia
Bronze Medal,3,45514,Gor MINASYAN,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1540334,BRN,Bahrain
Gold Medal,1,45514,LIU Huanhua,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1918369,CHN,China
Silver Medal,2,45514,Akbar DJURAEV,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1551307,UZB,Uzbekistan
Bronze Medal,3,45514,Yauheni TSIKHANTSOU,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1569832,AIN,AIN
Gold Medal,1,45514,Solfrid Eila Amena KOANDA,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1878625,NOR,Norway
Silver Medal,2,45514,Sara AHMED,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1563010,EGY,Egypt
Bronze Medal,3,45514,Neisi Patricia DAJOMES BARRERA,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1940308,ECU,Ecuador
Gold Medal,1,45514,Geno PETRIASHVILI,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--,1554885,GEO,Georgia
Silver Medal,2,45514,Amir Hossein ZARE,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--,1543088,IRI,IR Iran
Bronze Medal,3,45514,Taha AKGUL,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000100--,1570546,TUR,T�rkiye
Bronze Medal,3,45514,Giorgi MESHVILDISHVILI,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000200--,1947172,AZE,Azerbaijan
Gold Medal,1,45514,Razambek Salambekovitch JAMALOV,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--,1562164,UZB,Uzbekistan
Silver Medal,2,45514,TAKATANI Daichi,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--,1939708,JPN,Japan
Bronze Medal,3,45514,Kyle Douglas DAKE,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/repf000100--,1955345,USA,United States
Bronze Medal,3,45514,Chermen VALIEV,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/repf000200--,3429662,ALB,Albania
Gold Medal,1,45514,MOTOKI Sakura,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--,1939702,JPN,Japan
Silver Medal,2,45514,Iryna KOLIADENKO,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--,1897022,UKR,Ukraine
Bronze Medal,3,45514,Aisuluu TYNYBEKOVA,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000100--,1902786,KGZ,Kyrgyzstan
Bronze Medal,3,45514,Grace Jacob BULLEN,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000200--,1878635,NOR,Norway
Gold Medal,1,45515,Sifan HASSAN,W,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--,1972105,NED,Netherlands
Silver Medal,2,45515,Tigst ASSEFA,W,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--,1901487,ETH,Ethiopia
Bronze Medal,3,45515,Hellen OBIRI,W,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--,1932851,KEN,Kenya
Gold Medal,1,45515,United States,W,Basketball,Women,HTEAM,/en/paris-2024/results/basketball/women/fnl-000100--,BKBWTEAM5---USA01,USA,United States
Silver Medal,2,45515,France,W,Basketball,Women,HTEAM,/en/paris-2024/results/basketball/women/fnl-000100--,BKBWTEAM5---FRA01,FRA,France
Bronze Medal,3,45515,Australia,W,Basketball,Women,HTEAM,/en/paris-2024/results/basketball/women/fnl-000200--,BKBWTEAM5---AUS01,AUS,Australia
Gold Medal,1,45515,Harrie LAVREYSEN,M,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------,1969182,NED,Netherlands
Silver Medal,2,45515,Matthew RICHARDSON,M,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------,1940263,AUS,Australia
Bronze Medal,3,45515,Matthew GLAETZER,M,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------,1940262,AUS,Australia
Gold Medal,1,45515,Jennifer VALENTE,W,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--,1955106,USA,United States
Silver Medal,2,45515,Daria PIKULIK,W,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--,1572953,POL,Poland
Bronze Medal,3,45515,Ally WOLLASTON,W,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--,1945080,NZL,New Zealand
Gold Medal,1,45515,Ellesse ANDREWS,W,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------,1945040,NZL,New Zealand
Silver Medal,2,45515,Lea FRIEDRICH,W,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------,1889704,GER,Germany
Bronze Medal,3,45515,Emma FINUCANE,W,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------,1912522,GBR,Great Britain
Gold Medal,1,45515,Denmark,M,Handball,Men,HTEAM,/en/paris-2024/results/handball/men/fnl-000100--,HBLMTEAM7---DEN01,DEN,Denmark
Silver Medal,2,45515,Germany,M,Handball,Men,HTEAM,/en/paris-2024/results/handball/men/fnl-000100--,HBLMTEAM7---GER01,GER,Germany
Bronze Medal,3,45515,Spain,M,Handball,Men,HTEAM,/en/paris-2024/results/handball/men/fnl-000200--,HBLMTEAM7---ESP01,ESP,Spain
Gold Medal,1,45515,Michelle GULYAS,W,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--,1936619,HUN,Hungary
Silver Medal,2,45515,Elodie CLOUVEL,W,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--,1545116,FRA,France
Bronze Medal,3,45515,SEONG Seungmin,W,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--,1786902,KOR,Korea
Gold Medal,1,45515,Italy,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000100--,VVOWTEAM6---ITA01,ITA,Italy
Silver Medal,2,45515,United States,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000100--,VVOWTEAM6---USA01,USA,United States
Gold Medal,1,45515,Serbia,M,Water Polo,Men,HTEAM,/en/paris-2024/results/water-polo/men/fnl-000100--,WPOMTEAM7---SRB01,SRB,Serbia
Silver Medal,2,45515,Croatia,M,Water Polo,Men,HTEAM,/en/paris-2024/results/water-polo/men/fnl-000100--,WPOMTEAM7---CRO01,CRO,Croatia
Bronze Medal,3,45515,United States,M,Water Polo,Men,HTEAM,/en/paris-2024/results/water-polo/men/fnl-000200--,WPOMTEAM7---USA01,USA,United States
Gold Medal,1,45515,LI Wenwen,W,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--,1918376,CHN,China
Silver Medal,2,45515,PARK Hyejeong,W,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--,1894414,KOR,Korea
Bronze Medal,3,45515,Emily CAMPBELL,W,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--,1544179,GBR,Great Britain
Gold Medal,1,45515,KIYOOKA Kotaro,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/fnl-000100--,1939700,JPN,Japan
Silver Medal,2,45515,Rahman AMOUZADKHALILI,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/fnl-000100--,1544830,IRI,IR Iran
Bronze Medal,3,45515,Sebastian C RIVERA,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000100--,1537188,PUR,Puerto Rico
Bronze Medal,3,45515,Islam DUDAEV,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000200--,1559387,ALB,Albania
Gold Medal,1,45515,Akhmed TAZHUDINOV,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--,1540305,BRN,Bahrain
Silver Medal,2,45515,Givi MATCHARASHVILI,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--,1552495,GEO,Georgia
Bronze Medal,3,45515,Magomedkhan MAGOMEDOV,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000100--,1981785,AZE,Azerbaijan
Bronze Medal,3,45515,Amirali AZARPIRA,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000200--,1543095,IRI,IR Iran
Gold Medal,1,45515,KAGAMI Yuka,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--,1939701,JPN,Japan
Silver Medal,2,45515,Kennedy Alexis BLADES,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--,1955344,USA,United States
Bronze Medal,3,45515,Milaimy de la Carid. MARIN POTRILLE,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000100--,1571936,CUB,Cuba
Bronze Medal,3,45515,Tatiana RENTERIA RENTERIA,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000200--,1535513,COL,Colombia
